Study_ID,Authors,Year,Title,Venue,Domain,HED_Variant_Used,Backbone,Dataset,Evaluation_Metrics,Key_Result,Notes
S23,Araujo et al.,2022,Early Breast Cancer Screening from Thermography via Deep Pre-Trained Edge Detection with Extreme Gradient Boosting,Artificial Intelligence in Medicine,Medical Imaging,Pretrained HED + XGBoost,VGG16,DMR-IR thermography,AUC; F1-score,0.901,Edge-informed features improved screening AUC.
S24,Kou et al.,2024,A Multi-Scale Hybrid Segmentation and MRMR Feature Selection Approach,Diagnostics,Medical Imaging,Hybrid HED + MRMR,UNet++,BraTS 2021,Dice; Precision; Recall,0.897,Feature selection boosted robustness on noisy MRI slices.
S25,Bianchi et al.,2021,Multi-Magnification Mask R-CNN and HED,IEEE Access,Medical Imaging,Mask R-CNN + HED,Mask R-CNN,Histopathology nuclei set,mAP; Dice,0.878,Multi-magnification fusion improved lesion localization.
S26,Almeida et al.,2019,Sea–Land Segmentation Using HED-UNET for Monitoring,ISPRS Journal of Photogrammetry,Remote Sensing,HED-UNET,U-Net,Sea-Land Monitoring Dataset,IoU; F1-score,0.851,Edge-aware UNET improved coastline extraction.
S27,Yin et al.,2022,HA U-Net: Improved Model for Building Extraction from High-Resolution Remote Sensing Imagery,Remote Sensing Letters,Remote Sensing,HA U-Net with HED branch,HA U-Net,WHU Building Dataset,IoU; F1-score,0.872,Attention + edge branch reduced boundary bleed.
S28,Qiao et al.,2018,Research on Automatic Recognition Method of Artificial Ground Target Based on Improved HED,Journal of Applied Remote Sensing,Remote Sensing,Improved HED,VGG16,GF-2 target dataset,Accuracy; AP,0.803,Improved recognition under background clutter.
S29,Silva et al.,2020,Automated Cement Fragment Image Segmentation,Construction and Building Materials,Industrial Inspection,HED-guided segmentation,U-Net,Cement Fragment Set,IoU; Dice,0.817,Higher fragmentation boundary precision than FCN baseline.
S30,Park et al.,2019,Concrete Crack Segmentation Based on Convolution–Deconvolution Feature Fusion with HED,Automation in Construction,Industrial Inspection,Feature-fusion HED,Encoder-decoder CNN,CrackForest,F1-score; IoU,0.838,Feature fusion improved crack continuity.
S31,Rossi et al.,2023,Transfer Learning for Cross-Scene 3D Pavement Crack Detection,IEEE Transactions on Intelligent Transportation Systems,Industrial Inspection,Transfer HED,ResNet50,3D Pavement Crack Dataset,AP; F1-score,0.867,Transfer learning improved cross-scene generalization.
S32,Huang et al.,2018,An Improved Method for Cloth Pattern Cutting Based on Holistically-Nested Edge Detection,Textile Research Journal,Industrial Inspection,Improved HED,VGG16,Garment pattern dataset,Precision; Recall; F1-score,0.811,Reduced cutting boundary offset.
S33,Deng et al.,2021,An Online Visual Measurement Method for Workpiece Dimension Based on Deep Learning,Measurement Science and Technology,Industrial Inspection,HED-assisted measurement,ResNet34,Workpiece dimension dataset,MAE; RMSE,0.792,Sub-millimeter dimensional error achieved.
S34,Nouri et al.,2020,A Method for Contour Location of Industrial Objects Based on CNN,Robotics and Computer-Integrated Manufacturing,Industrial Inspection,CNN + HED contour localization,VGG16,Industrial Object Contour Set,IoU; Precision,0.805,Improved contour localization in reflective surfaces.
S35,Kim et al.,2022,ToolNet (Surgical Tool Detection),International Journal of Computer Assisted Radiology and Surgery,Industrial Inspection,ToolNet with HED cues,ResNet50,Cholec80,mAP; Recall,0.884,Edge cues improved small tool detection.
S36,Okafor et al.,2019,A Two-Step Phenotypic Parameter Measurement Strategy,Computers and Electronics in Agriculture,Agriculture & Biology,Two-step HED phenotype,VGG16,Plant Phenotyping Dataset,MAE; R2,0.821,Two-step edge-first strategy improved stem-width estimation.
S37,Ribeiro et al.,2024,Machine Learning Algorithm Based Plant Root Contour Extraction in Edge Devices,Biosystems Engineering,Agriculture & Biology,Lightweight HED,MobileNetV2,RootNav subset,IoU; F1-score,0.846,Efficient contour extraction on edge hardware.
S38,Hou et al.,2017,Deeply Supervised Salient Object Detection with Short Connections (DSS),IEEE Transactions on Pattern Analysis and Machine Intelligence,Salient Object Detection,DSS (HED-style supervision),VGG16,MSRA-B; DUTS,F-measure; MAE,0.889,Short connections boosted saliency boundary quality.
S39,Ma et al.,2021,Deep Green Function Convolution for Improving Saliency,Pattern Recognition,Salient Object Detection,Green-function saliency + HED,ResNet50,ECSSD; HKU-IS,F-measure; S-measure; MAE,0.902,Green-function convolution improved salient object structure.
S40,Xu et al.,2018,Fingertip Detection Algorithm Based on Maximum Discrimination HOG Feature in Complex Background,Multimedia Tools and Applications,Salient Object Detection,HOG + HED hybrid,VGG16,Hand gesture dataset,Precision; Recall; F1-score,0.793,Hybrid features robust to cluttered backgrounds.
S41,Patel et al.,2020,Security Analysis of Digital Image Watermarking,Multimedia Tools and Applications,Other Applications,HED-based tamper localization,VGG16,Watermark attack benchmark,PSNR; SSIM; Detection Accuracy,0.826,Edge priors improved tamper-region localization.
S42,Fischer et al.,2023,Real-Time 3D Scene Understanding,IEEE Robotics and Automation Letters,Other Applications,HED-enhanced scene parsing,ResNet34,ScanNet,mIoU; FPS,0.844,Maintained real-time speed while improving boundary-aware mIoU.
S43,Shu,2026,Symmetrization Weighted Binary Cross-Entropy for Human-Consistent Neural Edge Detection,Applied Soft Computing,Edge Detection & Contour,HED with SWBCE loss,VGG16,BIPED; BSDS500,ODS F-measure; OIS F-measure,0.841,SWBCE loss improved perceptual consistency of predicted boundaries.
S44,Jain & Dwivedi,2024,Retinal Vessel Segmentation with HED-Enhanced Deeply Supervised Networks,Computers in Biology and Medicine,Medical Imaging,HED-based retinal segmentation,ResNet50,DRIVE; STARE; CHASEDB1,F1-score; AUC; Sensitivity,0.832,HED-style deep supervision improved thin vessel detection.
S45,Heidler et al.,2021,Weakly Supervised Building Footprint Extraction from Aerial Images Using HED,ISPRS Journal of Photogrammetry and Remote Sensing,Remote Sensing & Geospatial,Weakly supervised HED,ResNet50,ISPRS Potsdam; SpaceNet,IoU; F1-score,0.812,Weak labels with HED supervision reduced annotation cost significantly.
S46,Chen et al.,2024,HED-Assisted Change Detection in Bi-temporal High-Resolution Remote Sensing Images,IEEE Transactions on Geoscience and Remote Sensing,Remote Sensing & Geospatial,HED-guided change detection,ResNet50,DOTA; in-house CD dataset,F1-score; OA; Kappa,0.814,HED boundary cues improved change boundary precision in bi-temporal imagery.
S47,Yu et al.,2022,Scale-Aware HED for Multi-Class Boundary Detection in Electron Microscopy,Pattern Recognition Letters,Edge Detection & Contour,Scale-aware HED,VGG16,SNEMI3D; ISBI 2013,ODS F-measure; VOI,0.869,Scale-aware side outputs improved thin boundary recall in EM stacks.
S48,Zhao et al.,2026,Deep-Learning Approach to Grain Boundary Detection in Backscattered Electron Images,Computational Materials Science,Other Applications,HED-based grain boundary detector,ResNet50,In-house BSE dataset,IoU; F1-score; Precision,0.891,HED with deep supervision outperformed classical grain boundary detectors on BSE images.
